Submission id,PROLIFIC_PID,Status_x,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Non-religious,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,StartDate,EndDate,Status_y,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,1.1,1.2,Q33,4.1,4.2,8.1,8.2,5.1,5.2,6.1,6.2,7.1,7.2,3.1,3.2,10.1,10.2,9.1,9.2
679669facf1e385262b59099,664b698fef706ea563bdc730,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:38.213000Z,2025-01-26T17:05:23.077000Z,,2025-01-26T17:05:23.828502Z,345.0,NOCODE,119,Atheist,20,Male,White,Sweden,Sweden,Sweden,Swedish,Yes,Part-Time,2025-01-26 11:59:40,2025-01-26 12:05:12,IP Address,83.248.231.106,100,331,True,2025-01-26 12:05:12,R_8t2TaVjMx7nKlPS,,,,,59.3274,18.0653,anonymous,ZH-T,664b698fef706ea563bdc730,strongly disbelieve,high school,Yes,remain the same,may decrease,remain the same,remain the same,may decrease,remain the same,definitely increase,definitely increase,will definitely increase,very likely to increase,remain the same,may increase,remain the same,remain the same,may decrease,definitely increase
679669fe7715a696775a3931,60f9e5fdb753010b9fff46e3,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:42.578000Z,2025-01-26T17:03:43.384000Z,,2025-01-26T17:03:44.453881Z,241.0,NOCODE,711,Atheist,26,Female,White,Spain,Spain,Spain,Spanish,Yes,Unemployed (and job seeking),2025-01-26 11:59:45,2025-01-26 12:03:28,IP Address,46.222.184.68,100,223,True,2025-01-26 12:03:29,R_88PjqYh8qkpOdGN,,,,,40.4172,-3.684,anonymous,ZH-T,60f9e5fdb753010b9fff46e3,strongly disbelieve,graduate school (postgraduate),Yes,remain the same,remain the same,remain the same,remain the same,very likely to decrease,very likely to decrease,very likely to increase,very likely to increase,remain the same,remain the same,may increase,remain the same,may increase,remain the same,may decrease,may decrease
679669ff4e38afaca5e66f1b,5cc8bdd79366c80001eda779,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:49.024000Z,2025-01-26T17:03:43.093000Z,,2025-01-26T17:03:43.764939Z,235.0,NOCODE,1043,Atheist,42,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time,2025-01-26 11:59:52,2025-01-26 12:03:19,IP Address,178.22.113.48,100,207,True,2025-01-26 12:03:20,R_2d6DYAujpQTwue5,,,,,49.4795,17.1148,anonymous,ZH-T,5cc8bdd79366c80001eda779,strongly disbelieve,graduate school (postgraduate),Yes,may decrease,remain the same,may decrease,remain the same,may decrease,definitely increase,definitely increase,definitely increase,will definitely increase,definitely increase,may increase,definitely increase,remain the same,remain the same,very likely to decrease,may decrease
679669ffb0e13a938ecc282d,6714efbcefaf4aeb47c5e9e3,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:02.330000Z,2025-01-26T17:10:21.156000Z,,2025-01-26T17:10:21.954745Z,619.0,NOCODE,72,Atheist,50,Male,White,Hungary,Spain,Hungary,Spanish,No,Full-Time,2025-01-26 12:00:04,2025-01-26 12:09:50,IP Address,46.6.57.209,100,585,True,2025-01-26 12:09:50,R_2fHSAyjVUWQBKFc,,,,,39.4676,-0.3771,anonymous,ZH-T,6714efbcefaf4aeb47c5e9e3,strongly disbelieve,high school,Yes,may decrease,remain the same,very likely to decrease,may decrease,definitely decrease,very likely to decrease,definitely increase,remain the same,may increase,may increase,may increase,may increase,remain the same,remain the same,very likely to decrease,may decrease
67966a0231bb720a260544b0,60b7e7db11897639638f15cb,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:46.601000Z,2025-01-26T17:02:40.264000Z,,2025-01-26T17:02:41.119092Z,174.0,NOCODE,337,Atheist,23,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other,2025-01-26 11:59:49,2025-01-26 12:02:27,IP Address,161.230.126.143,100,158,True,2025-01-26 12:02:28,R_8ptk7crlTIOeo3t,,,,,41.3572,-8.5717,anonymous,ZH-T,60b7e7db11897639638f15cb,strongly disbelieve,undergraduate (college/University),Yes,may decrease,may decrease,definitely decrease,definitely decrease,definitely decrease,definitely decrease,very likely to increase,very likely to increase,may increase,very likely to increase,may increase,may increase,remain the same,remain the same,very likely to decrease,very likely to decrease
67966a0590b3a43b586f85ed,652a9e0fce21a1fecfc01f74,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:06.346000Z,2025-01-26T17:08:49.464000Z,,2025-01-26T17:08:50.403799Z,524.0,"Thank you for taking the time to complete this survey. If you have any questions or concerns, please email zehong@um.edu.mo",108,Irreligious,20,Male,White,Greece,Greece,Greece,Greek,Yes,Unemployed (and job seeking),2025-01-26 12:00:08,2025-01-26 12:08:28,IP Address,94.71.245.126,100,499,True,2025-01-26 12:08:28,R_2TsHgbQNeFTwkdr,,,,,39.3616,22.9414,anonymous,ZH-T,652a9e0fce21a1fecfc01f74,somewhat disbelieve,high school,Yes,remain the same,remain the same,may increase,remain the same,may increase,remain the same,definitely increase,definitely increase,very likely to increase,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,very likely to increase
67966a05dcdf3e532c230263,5ef930974bc6e0000848aff7,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:49.887000Z,2025-01-26T17:05:13.567000Z,,2025-01-26T17:05:14.177767Z,324.0,NOCODE,720,Atheist,32,Male,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Part-Time,2025-01-26 11:59:53,2025-01-26 12:04:47,IP Address,187.132.246.129,100,294,True,2025-01-26 12:04:48,R_7Tzn8YC5JXx8qB3,,,,,20.94,-89.6138,anonymous,ZH-T,5ef930974bc6e0000848aff7,strongly disbelieve,undergraduate (college/University),Yes,remain the same,may increase,remain the same,remain the same,remain the same,may decrease,definitely increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,remain the same,remain the same,definitely increase,very likely to decrease,definitely decrease
67966a08c5f036a60a46127c,5ffbb9b7fded4e0db634884f,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:01.329000Z,2025-01-26T17:11:08.656000Z,,2025-01-26T17:11:09.332326Z,668.0,NOCODE,729,Atheist,51,Male,White,Canada,Canada,Canada,English,No,Full-Time,2025-01-26 12:00:04,2025-01-26 12:10:42,IP Address,216.181.250.188,100,637,True,2025-01-26 12:10:42,R_6qFo3hRpgOOfNRf,,,,,45.413,-75.7011,anonymous,ZH-T,5ffbb9b7fded4e0db634884f,strongly believe,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,may decrease,may decrease,remain the same,very likely to increase,definitely increase,will definitely increase,definitely increase,may increase,remain the same,remain the same,remain the same,may decrease,may increase
67966a0996acae1112138911,5b9d05862299630001406f88,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:07.208000Z,2025-01-26T17:04:09.781000Z,,2025-01-26T17:04:10.470722Z,243.0,NOCODE,1973,Atheist,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",2025-01-26 12:00:11,2025-01-26 12:03:41,IP Address,80.189.221.255,100,210,True,2025-01-26 12:03:42,R_2OY2uf2JN9gKjBv,,,,,50.7533,-1.6571,anonymous,ZH-T,5b9d05862299630001406f88,strongly disbelieve,high school,Yes,may decrease,remain the same,may decrease,may increase,may decrease,may increase,may increase,definitely increase,may increase,very likely to increase,remain the same,may increase,remain the same,very likely to increase,may decrease,stay the same
67966a0b8fa0bc5012385b8c,6554d113748985a681a5f15c,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:55.041000Z,2025-01-26T17:03:21.501000Z,,2025-01-26T17:03:22.331391Z,207.0,NOCODE,136,Atheist,23,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Unemployed (and job seeking),2025-01-26 11:59:59,2025-01-26 12:03:08,IP Address,212.20.115.70,100,189,True,2025-01-26 12:03:09,R_8XbKqRtVtP9MzY2,,,,,50.1242,14.398,anonymous,ZH-T,6554d113748985a681a5f15c,strongly disbelieve,high school,Yes,may decrease,remain the same,may decrease,remain the same,may decrease,may decrease,definitely increase,may increase,very likely to increase,very likely to increase,may increase,may increase,remain the same,remain the same,may decrease,stay the same
67966a0bcc8ee056b2cde141,5f3077986a37984e5af7d994,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:01.809000Z,2025-01-26T17:03:18.449000Z,,2025-01-26T17:03:19.679853Z,197.0,NOCODE,724,Atheist,23,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),2025-01-26 12:00:03,2025-01-26 12:03:06,IP Address,91.94.126.213,100,183,True,2025-01-26 12:03:07,R_2PXN41GryPSdf6S,,,,,52.1044,20.6315,anonymous,ZH-T,5f3077986a37984e5af7d994,somewhat disbelieve,high school,Yes,may decrease,remain the same,very likely to decrease,may decrease,may decrease,remain the same,very likely to increase,may increase,may increase,very likely to increase,may increase,may increase,very likely to increase,definitely increase,may decrease,stay the same
67966a0e6e9dc3c05c923298,664f3e9464fc43338349d6b3,AWAITING REVIEW,Not Applicable,2025-01-26T16:59:58.953000Z,2025-01-26T17:03:16.787000Z,,2025-01-26T17:03:17.564929Z,198.0,NOCODE,95,Atheist,33,Female,White,Poland,Poland,Poland,Polish,No,Full-Time,2025-01-26 12:00:01,2025-01-26 12:02:55,IP Address,109.207.146.65,100,174,True,2025-01-26 12:02:56,R_2Wa7GzBzt2WzOUN,,,,,54.0888,18.7783,anonymous,ZH-T,664f3e9464fc43338349d6b3,unsure,high school,Yes,may decrease,may decrease,may decrease,may decrease,may decrease,may increase,very likely to increase,definitely increase,may increase,may increase,may increase,remain the same,remain the same,remain the same,may decrease,may decrease
67966a0f1e640ff166f1d1f4,605e9924e4020478378555d4,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:24.545000Z,2025-01-26T17:08:22.067000Z,,2025-01-26T17:08:22.710779Z,478.0,NOCODE,635,Atheist,28,Male,White,Poland,Poland,Poland,Polish,No,Full-Time,2025-01-26 12:00:28,2025-01-26 12:07:49,IP Address,31.0.89.88,100,441,True,2025-01-26 12:07:50,R_22sty4ix5NyX4g9,,,,,52.2189,20.9841,anonymous,ZH-T,605e9924e4020478378555d4,strongly disbelieve,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,definitely increase,very likely to decrease,definitely increase,definitely increase,definitely increase,will definitely increase,definitely increase,remain the same,remain the same,remain the same,remain the same,may decrease,definitely increase
67966a13c98d0d2bce41be25,667efa9f54b235e9874a02d2,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:26.324000Z,2025-01-26T17:05:27.295000Z,,2025-01-26T17:05:28.095752Z,301.0,NOCODE,34,Atheist,24,Male,White,Czech Republic,Czech Republic,Czech Republic,Czech,No,Full-Time,2025-01-26 12:00:29,2025-01-26 12:05:13,IP Address,89.24.34.64,100,284,True,2025-01-26 12:05:14,R_2dJ9gy9VJdx5MQN,,,,,50.0766,14.4464,anonymous,ZH-T,667efa9f54b235e9874a02d2,somewhat disbelieve,high school,Yes,may decrease,may decrease,may decrease,may increase,may decrease,very likely to increase,definitely increase,very likely to increase,remain the same,very likely to increase,may increase,remain the same,remain the same,remain the same,may decrease,stay the same
67966a14e6b4f3d248084363,5968b8040e679d0001fabd89,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:08.617000Z,2025-01-26T17:03:52.688000Z,,2025-01-26T17:03:53.562333Z,225.0,NOCODE,1125,Atheist,42,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,2025-01-26 12:00:10,2025-01-26 12:03:41,IP Address,95.95.182.17,100,211,True,2025-01-26 12:03:43,R_2YKdphikHpMS8oG,,,,,38.8691,-9.0656,anonymous,ZH-T,5968b8040e679d0001fabd89,strongly disbelieve,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,may decrease,may decrease,may decrease,definitely increase,definitely increase,will definitely increase,definitely increase,very likely to increase,may increase,may increase,may increase,very likely to decrease,stay the same
67966a167690f70b52c29be5,5b02f78c5b832b0001650a71,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:29.037000Z,2025-01-26T17:04:32.649000Z,,2025-01-26T17:04:33.623768Z,244.0,NOCODE,254,Atheist,28,Male,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking),2025-01-26 12:00:30,2025-01-26 12:04:15,IP Address,88.156.128.18,100,224,True,2025-01-26 12:04:16,R_2XncMXnc1caRwLl,,,,,52.2078,20.9976,anonymous,ZH-T,5b02f78c5b832b0001650a71,strongly disbelieve,vocational/technical school,Yes,remain the same,remain the same,may decrease,may increase,may decrease,may increase,may increase,very likely to increase,very likely to increase,very likely to increase,may increase,may increase,may increase,very likely to increase,may decrease,very likely to increase
67966a176a290025295f2322,66a63cb65a6d17798aaa907c,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:14.729000Z,2025-01-26T17:03:43.955000Z,,2025-01-26T17:03:44.600796Z,210.0,NOCODE,141,Atheist,31,Male,White,Norway,Norway,Norway,Norwegian,DATA_EXPIRED,Full-Time,2025-01-26 12:00:16,2025-01-26 12:03:28,IP Address,84.213.176.162,100,192,True,2025-01-26 12:03:29,R_8gMldPzueaRP2mh,,,,,59.4116,5.2677,anonymous,ZH-T,66a63cb65a6d17798aaa907c,strongly disbelieve,graduate school (postgraduate),Yes,remain the same,remain the same,remain the same,remain the same,remain the same,remain the same,may increase,very likely to increase,may increase,may increase,may increase,very likely to increase,remain the same,remain the same,remain the same,may increase
67966a18fab677a0d4d6b458,5aeae2bbf00c7f00018f784c,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:15.846000Z,2025-01-26T17:17:46.648000Z,,2025-01-26T17:17:47.512179Z,1051.0,NOCODE,606,Atheist,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,2025-01-26 12:00:21,2025-01-26 12:03:08,IP Address,86.15.246.239,100,167,True,2025-01-26 12:03:09,R_8GDeZW8f3izWtDv,,,,,52.9875,-2.1803,anonymous,ZH-T,5aeae2bbf00c7f00018f784c,somewhat disbelieve,graduate school (postgraduate),Yes,may decrease,may decrease,may decrease,may increase,very likely to decrease,may decrease,definitely increase,definitely increase,may increase,may decrease,very likely to increase,may increase,may increase,may increase,very likely to decrease,stay the same
67966a1d31bb720a260544be,65c7e8ec2fc3afbaa35438e2,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:25.389000Z,2025-01-26T17:19:22.534000Z,,2025-01-26T17:19:23.252907Z,1138.0,NOCODE,164,Atheist,22,Female,White,Hungary,Hungary,Hungary,Hungarian,Yes,Unemployed (and job seeking),2025-01-26 12:00:27,2025-01-26 12:19:04,IP Address,89.134.29.204,100,1116,True,2025-01-26 12:19:05,R_24PuRFfmkXmdhUB,,,,,47.5,19.0412,anonymous,ZH-T,65c7e8ec2fc3afbaa35438e2,strongly disbelieve,high school,Yes,very likely to decrease,definitely decrease,may decrease,remain the same,very likely to decrease,remain the same,very likely to increase,very likely to increase,may increase,very likely to increase,very likely to increase,may decrease,remain the same,very likely to increase,definitely decrease,very likely to decrease
67966a1f8218a6603316620d,5b6034ba0ced0a00017ba9b9,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:19.728000Z,2025-01-26T17:05:53.067000Z,,2025-01-26T17:05:54.085652Z,334.0,NOCODE,480,Irreligious,43,Male,White,Greece,Greece,Greece,Greek,No,Full-Time,2025-01-26 12:00:22,2025-01-26 12:05:36,IP Address,89.210.101.30,100,314,True,2025-01-26 12:05:37,R_2CU0R60E1dSyrkF,,,,,37.9842,23.7353,anonymous,ZH-T,5b6034ba0ced0a00017ba9b9,strongly disbelieve,undergraduate (college/University),Yes,remain the same,very likely to increase,may decrease,remain the same,may decrease,remain the same,may increase,very likely to increase,very likely to increase,may increase,may increase,remain the same,remain the same,remain the same,very likely to decrease,may increase
67966a205e48f7ac951d1d06,666306b0bf2de127943c419f,AWAITING REVIEW,Not Applicable,2025-01-26T17:06:24.846000Z,2025-01-26T17:11:34.456000Z,,2025-01-26T17:11:35.849333Z,310.0,NOCODE,111,Atheist,23,Male,White,Poland,Poland,Poland,Polish,Yes,Unemployed (and job seeking),2025-01-26 12:06:25,2025-01-26 12:11:16,IP Address,79.184.230.133,100,290,True,2025-01-26 12:11:17,R_8nPnNfiw67cxndn,,,,,51.2431,22.5372,anonymous,ZH-T,666306b0bf2de127943c419f,somewhat disbelieve,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,may decrease,remain the same,very likely to increase,definitely increase,definitely increase,may increase,very likely to increase,may increase,may increase,may increase,very likely to increase,may decrease,may decrease
67966a2265896c37ba595828,664fa8a5268a03c0e0fb46f4,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:26.613000Z,2025-01-26T17:03:56.481000Z,,2025-01-26T17:03:57.349340Z,210.0,664fa8a5268a03c0e0fb46f4,112,Atheist,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,2025-01-26 12:00:29,2025-01-26 12:03:28,IP Address,51.191.132.182,100,179,True,2025-01-26 12:03:29,R_2Ho4UXGrLazBYv4,,,,,52.118,-0.56,anonymous,ZH-T,664fa8a5268a03c0e0fb46f4,strongly disbelieve,undergraduate (college/University),Yes,remain the same,remain the same,may decrease,may decrease,may decrease,may decrease,definitely increase,definitely increase,may increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,very likely to increase,may decrease,stay the same
67966a24e88fdf09ab432949,6492c23a1a7735dfaab2b095,AWAITING REVIEW,Not Applicable,2025-01-26T17:01:03.712000Z,2025-01-26T17:04:08.357000Z,,2025-01-26T17:04:09.105153Z,185.0,NOCODE,293,Atheist,20,Male,Asian,Portugal,Portugal,China,English,Yes,Full-Time,2025-01-26 12:01:06,2025-01-26 12:03:55,IP Address,193.136.33.132,100,169,True,2025-01-26 12:03:56,R_2K29qkBIc6Sm7rG,,,,,41.1459,-8.6169,anonymous,ZH-T,6492c23a1a7735dfaab2b095,strongly disbelieve,undergraduate (college/University),Yes,very likely to decrease,very likely to decrease,may decrease,may decrease,very likely to decrease,may decrease,definitely increase,definitely increase,may increase,very likely to increase,may increase,may increase,very likely to increase,may increase,definitely decrease,very likely to decrease
67966a2878729461cd8e59ad,65a68ae79a480cc6d7032d85,AWAITING REVIEW,Not Applicable,2025-01-26T17:00:24.620000Z,2025-01-26T17:05:32.780000Z,,2025-01-26T17:05:33.666847Z,309.0,NOCODE,135,Atheist,21,Male,Other,Chile,Chile,Chile,Spanish,Yes,Unemployed (and job seeking),2025-01-26 12:00:27,2025-01-26 12:05:01,IP Address,186.11.110.142,100,273,True,2025-01-26 12:05:02,R_5uJz4eNxihZNWSf,,,,,-33.4521,-70.6536,anonymous,ZH-T,65a68ae79a480cc6d7032d85,strongly disbelieve,undergraduate (college/University),Yes,may decrease,remain the same,may decrease,may decrease,very likely to decrease,may decrease,definitely increase,definitely increase,very likely to increase,definitely increase,may increase,definitely increase,remain the same,very likely to increase,very likely to decrease,definitely decrease
